"Date","Price","Open","High","Low","Vol.","Change %"
"02/18/2022","23,100","22,800","23,175","22,600","1.67M","0.54%"
"02/17/2022","22,975","23,400","23,425","22,800","3.00M","-2.13%"
"02/16/2022","23,475","23,450","23,725","23,200","3.41M","0.43%"
"02/15/2022","23,375","22,925","23,400","22,800","3.54M","1.96%"
"02/14/2022","22,925","21,875","22,975","21,875","5.99M","4.80%"
"02/11/2022","21,875","21,250","21,875","21,150","2.60M","2.94%"
"02/10/2022","21,250","21,700","21,750","21,200","1.93M","-1.85%"
"02/09/2022","21,650","21,025","21,650","20,925","3.16M","3.96%"
"02/08/2022","20,825","21,300","21,350","20,800","4.25M","-1.19%"
"02/07/2022","21,075","21,025","21,325","21,000","2.38M","1.32%"
"02/04/2022","20,800","20,925","21,175","20,700","1.22M","-0.60%"
"02/03/2022","20,925","21,350","21,425","20,375","3.39M","-1.88%"
"02/02/2022","21,325","21,650","21,825","21,150","2.20M","-1.50%"
"01/31/2022","21,650","22,550","22,650","21,625","3.66M","-3.99%"
"01/28/2022","22,550","22,175","22,700","21,875","3.73M","1.81%"
"01/27/2022","22,150","21,400","22,150","21,350","5.32M","3.50%"
"01/26/2022","21,400","21,225","21,575","21,125","2.32M","0.82%"
"01/25/2022","21,225","21,575","21,775","21,050","2.44M","-1.28%"
"01/24/2022","21,500","20,800","21,500","20,725","4.41M","3.37%"
"01/21/2022","20,800","20,750","20,875","20,550","1.18M","-0.12%"
"01/20/2022","20,825","20,950","21,100","20,750","1.47M","-0.60%"
"01/19/2022","20,950","20,875","21,175","20,550","1.38M","0.60%"
"01/18/2022","20,825","21,225","21,450","20,625","3.16M","-1.42%"
"01/17/2022","21,125","20,950","21,150","20,850","2.60M","2.05%"
"01/14/2022","20,700","20,750","20,875","20,500","1.90M","0.49%"
"01/13/2022","20,600","20,450","20,800","20,300","2.11M","2.11%"
"01/12/2022","20,175","20,275","20,450","20,100","1.39M","0.00%"
"01/11/2022","20,175","20,350","20,675","20,125","2.55M","0.62%"
"01/10/2022","20,050","20,100","20,225","19,975","997.20K","0.12%"
