"Date","Price","Open","High","Low","Vol.","Change %"
"03/05/2024","11,575","11,600","11,625","11,400","2.58M","-0.22%"
"03/04/2024","11,600","11,500","11,875","11,375","7.92M","0.87%"
"03/01/2024","11,500","11,425","11,575","11,125","5.30M","0.66%"
"02/29/2024","11,425","11,175","12,250","11,175","17.58M","2.24%"
"02/28/2024","11,175","10,700","11,375","10,650","8.46M","4.93%"
"02/27/2024","10,650","10,650","10,825","10,200","12.30M","0.00%"
"02/26/2024","10,650","10,975","10,975","10,350","10.21M","-2.74%"
"02/23/2024","10,950","10,675","10,950","10,650","4.18M","2.58%"
"02/22/2024","10,675","9,875","10,700","9,875","22.50M","8.10%"
"02/21/2024","9,875","9,675","9,875","9,675","1.79M","2.33%"
"02/20/2024","9,650","9,575","9,725","9,575","2.26M","0.78%"
"02/19/2024","9,575","9,800","9,875","9,500","2.82M","-2.30%"
"02/16/2024","9,800","10,000","10,025","9,750","2.49M","-2.00%"
"02/15/2024","10,000","9,800","10,100","9,800","3.51M","2.04%"
"02/13/2024","9,800","9,825","9,950","9,775","1.47M","0.00%"
"02/12/2024","9,800","9,500","9,975","9,475","5.63M","3.16%"
"02/07/2024","9,500","9,475","9,575","9,400","3.40M","0.26%"
"02/06/2024","9,475","9,550","9,575","9,425","2.03M","-0.79%"
"02/05/2024","9,550","9,650","9,700","9,375","1.15M","-0.78%"
"02/02/2024","9,625","9,575","9,700","9,475","1.12M","0.52%"
"02/01/2024","9,575","9,350","9,750","9,350","2.03M","0.00%"
"01/31/2024","9,575","9,550","9,700","9,425","2.61M","1.32%"
"01/30/2024","9,450","9,625","9,650","9,275","3.63M","-1.82%"
"01/29/2024","9,625","9,900","9,925","9,625","3.05M","-3.27%"
"01/26/2024","9,950","10,000","10,000","9,800","3.71M","-0.50%"
"01/25/2024","10,000","9,950","10,050","9,900","1.09M","0.50%"
"01/24/2024","9,950","9,875","10,000","9,875","1.76M","1.02%"
"01/23/2024","9,850","9,750","9,975","9,700","4.12M","1.55%"
"01/22/2024","9,700","9,900","9,900","9,650","1.23M","-2.76%"
"01/19/2024","9,975","10,000","10,100","9,800","1.17M","-0.25%"
"01/18/2024","10,000","9,725","10,100","9,650","5.31M","2.56%"
"01/17/2024","9,750","10,050","10,050","9,575","3.00M","-1.52%"
"01/16/2024","9,900","9,875","9,975","9,800","2.66M","0.25%"
"01/15/2024","9,875","9,725","10,100","9,700","4.58M","1.54%"
"01/12/2024","9,725","9,625","9,875","9,525","2.70M","1.04%"
"01/11/2024","9,625","9,600","9,700","9,500","3.19M","1.32%"
"01/10/2024","9,500","9,300","9,600","9,300","4.25M","2.43%"
"01/09/2024","9,275","9,300","9,425","9,250","1.77M","-0.54%"
"01/08/2024","9,325","9,275","9,350","9,250","2.51M","0.54%"
"01/05/2024","9,275","9,425","9,425","9,275","3.68M","-1.59%"
"01/04/2024","9,425","9,400","9,475","9,350","1.12M","0.27%"
"01/03/2024","9,400","9,350","9,425","9,225","3.26M","0.27%"
"01/02/2024","9,375","9,375","9,425","9,300","1.02M","0.00%"
