"Date","Price","Open","High","Low","Vol.","Change %"
"05/08/2024","2,930","2,900","3,020","2,790","89.51M","1.74%"
"05/07/2024","2,880","2,940","2,950","2,870","19.84M","-1.71%"
"05/06/2024","2,930","2,940","2,950","2,910","14.82M","0.00%"
"05/03/2024","2,930","2,910","2,950","2,890","15.12M","1.38%"
"05/02/2024","2,890","2,760","2,920","2,750","45.40M","-4.62%"
"04/30/2024","3,030","3,000","3,030","2,980","14.32M","1.00%"
"04/29/2024","3,000","2,900","3,000","2,860","11.27M","4.17%"
"04/26/2024","2,880","2,900","2,940","2,880","11.56M","-0.35%"
"04/25/2024","2,890","2,960","2,960","2,870","23.58M","-2.36%"
"04/24/2024","2,960","3,080","3,100","2,870","31.02M","-3.27%"
"04/23/2024","3,060","3,080","3,090","3,050","8.42M","-0.65%"
"04/22/2024","3,080","3,140","3,150","3,060","19.62M","-1.91%"
"04/19/2024","3,140","3,130","3,150","3,090","22.92M","0.32%"
"04/18/2024","3,130","3,100","3,130","3,030","26.81M","1.29%"
"04/17/2024","3,090","3,120","3,160","3,060","36.78M","-0.32%"
"04/16/2024","3,100","2,940","3,130","2,930","58.08M","5.80%"
"04/05/2024","2,930","2,930","2,940","2,910","9.07M","0.00%"
"04/04/2024","2,930","2,910","2,940","2,880","9.47M","0.34%"
"04/03/2024","2,920","2,920","2,950","2,900","17.80M","0.00%"
"04/02/2024","2,920","2,890","2,920","2,860","16.33M","1.04%"
"04/01/2024","2,890","2,970","2,970","2,850","32.36M","-2.69%"
"03/28/2024","2,970","2,970","2,990","2,950","24.64M","0.68%"
"03/27/2024","2,950","2,940","2,960","2,940","12.76M","0.34%"
"03/26/2024","2,940","2,930","2,950","2,900","13.22M","0.34%"
"03/25/2024","2,930","2,940","2,950","2,900","13.40M","-0.34%"
"03/22/2024","2,940","2,950","2,980","2,940","16.73M","-0.34%"
"03/21/2024","2,950","2,900","2,980","2,900","26.60M","2.08%"
"03/20/2024","2,890","2,920","2,930","2,890","14.83M","-1.37%"
"03/19/2024","2,930","2,850","2,930","2,850","21.77M","2.81%"
"03/18/2024","2,850","2,860","2,880","2,840","12.80M","0.35%"
"03/15/2024","2,840","2,890","2,940","2,840","49.87M","-1.39%"
"03/14/2024","2,880","2,800","2,890","2,800","31.78M","2.86%"
"03/13/2024","2,800","2,900","2,900","2,800","33.68M","-3.45%"
"03/08/2024","2,900","2,840","2,900","2,810","34.85M","2.11%"
"03/07/2024","2,840","2,780","2,840","2,750","30.00M","2.16%"
"03/06/2024","2,780","2,760","2,790","2,730","28.00M","1.46%"
"03/05/2024","2,740","2,740","2,800","2,740","69.92M","1.86%"
"03/04/2024","2,690","2,590","2,690","2,590","27.15M","4.26%"
"03/01/2024","2,580","2,590","2,610","2,570","8.63M","0.78%"
"02/29/2024","2,560","2,620","2,630","2,560","16.56M","-2.29%"
"02/28/2024","2,620","2,600","2,630","2,600","5.27M","1.16%"
"02/27/2024","2,590","2,600","2,610","2,590","5.65M","0.39%"
"02/26/2024","2,580","2,640","2,640","2,580","11.68M","-1.90%"
"02/23/2024","2,630","2,630","2,640","2,610","3.93M","0.00%"
"02/22/2024","2,630","2,610","2,650","2,600","6.88M","0.77%"
"02/21/2024","2,610","2,640","2,640","2,600","7.86M","-1.14%"
"02/20/2024","2,640","2,690","2,690","2,640","9.30M","-1.86%"
"02/19/2024","2,690","2,680","2,690","2,650","10.04M","0.37%"
"02/16/2024","2,680","2,680","2,690","2,650","13.09M","0.75%"
"02/15/2024","2,660","2,660","2,700","2,650","10.67M","0.76%"
"02/13/2024","2,640","2,650","2,660","2,630","5.62M","-0.38%"
"02/12/2024","2,650","2,610","2,660","2,610","11.85M","1.53%"
"02/07/2024","2,610","2,560","2,610","2,560","6.50M","1.95%"
"02/06/2024","2,560","2,550","2,570","2,540","8.82M","0.79%"
"02/05/2024","2,540","2,550","2,590","2,540","8.57M","0.00%"
"02/02/2024","2,540","2,560","2,580","2,540","6.28M","-0.78%"
"02/01/2024","2,560","2,610","2,610","2,560","12.27M","-1.92%"
"01/31/2024","2,610","2,610","2,660","2,600","14.81M","0.77%"
"01/30/2024","2,590","2,560","2,610","2,540","8.54M","0.78%"
"01/29/2024","2,570","2,570","2,590","2,560","5.58M","0.00%"
"01/26/2024","2,570","2,600","2,600","2,540","5.26M","0.00%"
"01/25/2024","2,570","2,510","2,580","2,510","9.74M","2.39%"
"01/24/2024","2,510","2,560","2,580","2,500","7.82M","-1.18%"
"01/23/2024","2,540","2,550","2,590","2,520","8.69M","-0.39%"
"01/22/2024","2,550","2,610","2,630","2,550","15.85M","-2.67%"
"01/19/2024","2,620","2,650","2,650","2,610","6.35M","-0.76%"
"01/18/2024","2,640","2,660","2,660","2,620","8.67M","-0.75%"
"01/17/2024","2,660","2,700","2,720","2,660","12.82M","-1.48%"
"01/16/2024","2,700","2,720","2,720","2,680","9.77M","-0.37%"
"01/15/2024","2,710","2,650","2,720","2,650","20.75M","2.65%"
"01/12/2024","2,640","2,620","2,650","2,610","7.29M","0.76%"
"01/11/2024","2,620","2,650","2,650","2,610","7.10M","-1.13%"
"01/10/2024","2,650","2,640","2,660","2,620","10.35M","0.76%"
"01/09/2024","2,630","2,640","2,650","2,590","12.09M","0.00%"
"01/08/2024","2,630","2,660","2,680","2,620","14.40M","-1.13%"
"01/05/2024","2,660","2,650","2,700","2,650","20.78M","0.38%"
"01/04/2024","2,650","2,540","2,690","2,540","36.99M","4.74%"
"01/03/2024","2,530","2,520","2,540","2,480","15.78M","0.00%"
"01/02/2024","2,530","2,440","2,550","2,440","20.59M","3.69%"
"12/29/2023","2,440","2,470","2,470","2,430","8.14M","-0.81%"
"12/28/2023","2,460","2,440","2,470","2,440","8.04M","0.82%"
"12/27/2023","2,440","2,400","2,450","2,400","10.89M","1.67%"
"12/22/2023","2,400","2,390","2,410","2,380","7.31M","0.84%"
"12/21/2023","2,380","2,370","2,390","2,350","6.16M","0.85%"
"12/20/2023","2,360","2,370","2,410","2,350","9.86M","-0.42%"
"12/19/2023","2,370","2,340","2,370","2,330","7.87M","1.72%"
"12/18/2023","2,330","2,320","2,360","2,310","11.13M","0.87%"
"12/15/2023","2,310","2,320","2,410","2,310","23.17M","0.00%"
"12/14/2023","2,310","2,300","2,340","2,300","7.11M","0.43%"
"12/13/2023","2,300","2,350","2,350","2,300","10.75M","-2.13%"
"12/12/2023","2,350","2,380","2,400","2,340","9.81M","-0.84%"
"12/11/2023","2,370","2,420","2,440","2,360","11.90M","-1.66%"
"12/08/2023","2,410","2,440","2,440","2,410","10.36M","-0.41%"
"12/07/2023","2,420","2,410","2,440","2,400","9.76M","0.41%"
"12/06/2023","2,410","2,420","2,440","2,400","7.41M","-0.41%"
"12/05/2023","2,420","2,470","2,470","2,420","5.83M","-1.63%"
"12/04/2023","2,460","2,450","2,470","2,440","7.55M","1.23%"
"12/01/2023","2,430","2,440","2,450","2,430","6.11M","0.41%"
"11/30/2023","2,420","2,420","2,440","2,410","6.08M","0.00%"
"11/29/2023","2,420","2,450","2,460","2,420","5.82M","-0.82%"
"11/28/2023","2,440","2,450","2,470","2,440","4.99M","0.00%"
"11/27/2023","2,440","2,460","2,480","2,440","7.94M","-0.81%"
"11/24/2023","2,460","2,440","2,480","2,440","5.38M","1.23%"
"11/23/2023","2,430","2,420","2,440","2,400","3.26M","0.41%"
"11/22/2023","2,420","2,440","2,490","2,420","8.97M","-0.41%"
"11/21/2023","2,430","2,420","2,440","2,410","4.34M","0.41%"
"11/20/2023","2,420","2,400","2,440","2,400","5.49M","0.83%"
"11/17/2023","2,400","2,380","2,410","2,380","4.94M","0.84%"
"11/16/2023","2,380","2,400","2,410","2,370","5.02M","-0.83%"
"11/15/2023","2,400","2,400","2,430","2,400","7.96M","0.42%"
"11/14/2023","2,390","2,360","2,400","2,360","6.85M","1.27%"
"11/13/2023","2,360","2,340","2,370","2,340","6.61M","0.85%"
"11/10/2023","2,340","2,350","2,370","2,340","5.56M","-0.43%"
"11/09/2023","2,350","2,350","2,370","2,330","9.20M","0.86%"
"11/08/2023","2,330","2,360","2,370","2,310","10.59M","-1.27%"
"11/07/2023","2,360","2,400","2,410","2,350","11.32M","-1.67%"
"11/06/2023","2,400","2,400","2,420","2,390","10.39M","0.42%"
"11/03/2023","2,390","2,390","2,420","2,380","15.48M","0.42%"
"11/02/2023","2,380","2,360","2,410","2,360","14.77M","0.85%"
"11/01/2023","2,360","2,460","2,470","2,350","29.75M","-4.84%"
