,ACES,ADMR,ADRO,AKRA,AMMN,AMRT,ANTM,ARTO,ASII,BBCA,BBNI,BBRI,BBTN,BMRI,BRIS,BRPT,BUKA,CPIN,ESSA,EXCL,GOTO,ICBP,INCO,INDF,INKP,INTP,ISAT,ITMG,JSMR,KLBF,MAPI,MBMA,MDKA,MEDC,MTEL,PGAS,PGEO,PTBA,SIDO,SMGR,SMRA,TLKM,TOWR,UNTR,UNVR
BBNI,0.119372304509571,0.04007203852973034,0.043382302711906205,0.076010337835552,0.04558875983942425,0.23198842437280812,0.1380551390349729,0.20859797313231368,0.2849812060475881,0.3948643504454847,1.0,0.6098328253953319,0.4841404684599652,0.6072216839153197,0.35649422780971185,0.17344998163165523,0.1325547887883622,0.10205370728343283,0.041256120667340905,0.09116461702462929,0.09166584787981133,0.28837402611373547,0.05028561465883391,0.2449580333289284,0.11860788653325496,0.17597376137078913,0.13354112383637468,0.10269544090830766,0.17239805513382433,0.15602530191147299,0.20120098267382544,0.14456542581244441,0.15939967916230002,0.06581530942521513,0.08282185126672101,0.09082913593478799,0.06082769021287138,0.24201421553390096,0.1087897476581997,0.2208786784988123,0.2873806517325383,0.2155827390240159,0.27247854843698416,0.06339385023200599,0.09510118735241915
BBRI,0.13316654213159937,0.05826659217485594,0.14875730798090214,0.06479323249760989,-0.029040364852137925,0.2139572376048587,0.12555567402519105,0.23893879311574104,0.33500813268732027,0.4471015676855108,0.6098328253953318,1.0,0.519801240513973,0.5430639292803205,0.38299582837007584,0.17490483288875674,0.19446286609899346,0.1777067969310383,0.105472165684358,0.14452303696056853,0.11157975858699669,0.1719391924532836,0.024305483017902696,0.20009450697280354,0.1508568174888218,0.1021725306407082,0.0866719627822102,0.1860528799813183,0.19097630231911128,0.15704888160414493,0.20123839367956037,0.1767525889563337,0.1488783329199965,0.07991809250133684,0.13352944662609814,0.19869151532977558,0.07434353387105216,0.23566548675163493,0.1515491132782027,0.20144308770072153,0.32383248845483725,0.22934558221696655,0.3005056601432584,0.1316236165135045,0.10035790073433327
BBTN,0.2120621475405833,0.11097404979260803,0.0804009749931042,0.07053948700596663,0.0018299186682930683,0.14964120419252527,0.1832629023076975,0.24622723507939867,0.24755421789079224,0.36716263003130845,0.4841404684599652,0.519801240513973,1.0,0.406159836402627,0.35724028261446544,0.13280574680060697,0.21427178746112482,0.18079876270329268,0.0919983755440419,0.1721924612316844,0.1569149517282932,0.2874156311470101,0.0896157031911559,0.243105814846492,0.13126724739347437,0.16571051126762934,0.04652691785762007,0.11667672577197225,0.16218499787894525,0.160454883867554,0.25572720384648173,0.23946508753030965,0.150079010606393,0.06170877626331988,0.1928180213157503,0.18623570760737349,0.12671164457852754,0.1670217511636567,0.17655460938131637,0.31079410671851504,0.37770090963184166,0.207915574112485,0.33847408994685013,0.10348726833743252,0.03616271446934618
BMRI,0.08853830661740632,0.07235792445305059,0.15242848345801735,0.14656422650187895,-0.04385146923041816,0.2163110962420268,0.13656672830747965,0.17965320209295133,0.2655748871232675,0.49869046940980205,0.6072216839153198,0.5430639292803207,0.406159836402627,1.0,0.37672688448856606,0.19791998579936246,0.12758310497617947,0.15261272080148464,0.13728827748321218,0.07565839837718373,0.12894513583553632,0.20486676034695114,0.07248435938187246,0.21645806571089135,0.12865245092535885,0.18305530602082884,0.12017764221523677,0.161832402953482,0.16042236720491956,0.09001033047000802,0.18351086090090032,0.1425694870300761,0.1640474819033334,0.07451524326292833,0.02538640166029836,0.11551684319782819,0.08418455446176146,0.2804895485695628,0.11270656699230236,0.23114909599030428,0.27452024387434115,0.2189568541014411,0.23749801715325292,0.11711457030008166,0.015395794534317952
BRIS,0.22489866606225067,0.10038458529545412,0.07356462200200746,0.16854313942643598,0.015280626937207773,0.17525340371112935,0.1402057128700899,0.19824286837838204,0.18473032591169594,0.23893875500137848,0.3564942278097118,0.3829958283700758,0.35724028261446544,0.37672688448856606,1.0,0.11782724582278424,0.1688027255978538,0.18530207040314858,0.18006513321831746,0.1208219372507977,0.15554566180489007,0.23817987523956338,0.07803093628069911,0.133764068543724,0.11106186981235434,0.04896514734932244,0.06791918125705905,0.07545361713298622,0.2219702818204067,0.011758228327945515,0.115368752896054,0.17991088976928402,0.17131049425195183,0.03987258519894541,0.10806384400350981,0.17416473587134196,0.08466462938456958,0.20017263083399497,0.17062244860916195,0.11294373189700622,0.23471459584207102,0.1276692491584798,0.14673995986445282,0.022888190596845683,0.05328857665069661
BRPT,-0.028336095578548104,0.14007465052746657,0.0995318058231865,0.07611055271858964,0.024859814352445674,0.16585438008999007,0.11394409151112309,0.10453411747279114,0.23203089287559628,0.1469450039544315,0.17344998163165523,0.1749048328887568,0.13280574680060694,0.19791998579936246,0.11782724582278425,1.0,0.04393277248165351,0.1882021936053309,0.1224661631561695,0.09219888455048646,0.09306780080194388,0.054101660068186314,0.08845601331033354,0.06691212298704091,0.1795879877075932,0.12436609269697828,0.042845570760130146,0.09086064745909217,0.11725803989465416,0.06740272796982534,0.0455038912892772,0.15483425297269285,0.1241774028103207,0.16138895528461283,0.0880626855355149,0.06964691664993096,0.329839935104234,0.0726180004251399,0.05384646437651891,0.13039260252761836,0.11986461300007979,0.062391912755459626,0.08928799221805632,0.0679284802985776,0.09979745940507209
BUKA,0.0750719705604291,0.10784307979224637,0.05968318827350634,0.030187918296645758,-0.03862527644554534,0.08508810616259622,0.11570707924309458,0.2545872465966241,0.10548971628689931,0.12939909113001663,0.1325547887883622,0.19446286609899346,0.2142717874611248,0.12758310497617947,0.1688027255978538,0.04393277248165348,1.0,0.10223092011212295,0.1363238645139981,0.10799810739364411,0.22444534466506588,0.08369921421587065,0.07856476561043682,0.049347750869804495,0.08860384427814283,0.16511866155322183,-0.3688660966875175,0.14034150273920407,0.1363415064391652,0.11842873686426418,0.14261144065506529,0.09038681407728248,0.06822113702217979,0.10554711369957981,0.1060733687212929,0.12820769277145352,-0.010574188600948152,0.13344146697683704,0.1281079530026787,0.15831764395047415,0.17368637698627565,0.16087612097048998,0.14057543930237557,0.10632299909267942,0.15683839517421203
CPIN,0.026785164023392562,0.03306500652277006,0.053287331631951394,0.05744437417173053,0.04211711239913192,0.2625046046415844,0.11586278092068814,0.06854766935465098,0.026800113804331848,0.15924142810565983,0.1020537072834328,0.17770679693103833,0.18079876270329262,0.1526127208014847,0.18530207040314864,0.18820219360533086,0.1022309201121229,1.0,0.011300851339132504,0.12820142611462343,0.04141903869025065,0.1839151832673934,-0.061918895141575545,0.17474753817604788,0.2152176177277787,0.05535839922820546,0.002858859627654694,0.028423547421135575,0.2226900147149293,0.18679584485947875,0.10302616199680502,0.07280915183029527,0.023709304744721594,-0.022320277639759516,0.09816130926161144,0.07333357353928353,0.14569925823413754,0.09720064662715347,0.18286778346605054,0.11443437356308743,0.16146516877094144,0.10203002812208252,0.1964201063187123,0.09462676360570788,0.08196136509948139
ESSA,0.02763971813893581,0.1612534164203249,0.14913360170752626,0.1708952901516822,0.008152247669260574,0.1238369609236669,0.23500798744326992,0.06257677880542559,0.10418062305653783,0.010717247426205225,0.041256120667340905,0.105472165684358,0.09199837554404192,0.13728827748321218,0.1800651332183174,0.12246616315616954,0.1363238645139981,0.011300851339132511,1.0,0.058262644018515906,0.04194135079259536,-0.008526408866714685,0.2677699323546572,0.06182534570820617,0.1543504654700484,0.06752566844771155,0.009307552716285165,0.20451250574733187,0.06684848496162461,-0.10032401198838611,0.050734225658999606,0.22618977731366632,0.21540556732511176,0.24296794369035893,0.02395989388060486,0.18032261947126293,0.05494185970521941,0.21501033008993323,0.10197315985574347,0.09178991882821058,0.03926531030193178,0.028781907986979403,0.06725234745404252,0.17872070008154659,0.06907586929567966
EXCL,0.15804251162217667,0.03964647048963028,0.058379067000701675,0.13521001638884023,0.04433239518622111,0.0048017576662067255,0.06611563215146264,0.11695195047168662,0.05886704913469859,-0.006313932486949756,0.09116461702462927,0.1445230369605685,0.1721924612316844,0.07565839837718373,0.12082193725079772,0.09219888455048646,0.10799810739364411,0.12820142611462343,0.058262644018515886,1.0,0.046041170345283294,0.09648276743109478,0.06014526283120625,0.09206235745683176,0.23653188521847923,0.0768753579786816,0.10791953012430544,0.14179603845153166,0.16597903559037935,0.0868520338344256,0.18999005501900362,0.20101277262490636,0.05160593488459778,0.13112081723546168,0.08509848985658601,0.15265948111982616,0.08896471809890301,0.08289490465263756,0.1000076508258332,0.0910306363772179,0.1386000994674015,0.1286646817353448,0.20213559473603387,0.11452926616889278,0.03999468435330229
